system_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_total_vehicles
437.8,62,1762.8000000000004,6.016382252559726,9.230582580997499,293
437.9,62,1768.9999999999993,6.037542662116041,9.224908883255635,293
438.0,62,1775.2,6.058703071672355,9.219237290602928,293
438.1,62,1781.4000000000003,5.938000000000001,9.35332907642816,300
438.2,62,1787.6,5.958666666666667,9.351566238302736,300
438.3,62,1793.8000000000004,6.019463087248322,9.304879305971678,298
438.4,62,1799.9999999999993,6.040268456375839,9.28782790068263,298
438.5,62,1806.2,6.061073825503355,9.266589374741454,298
438.6,62,1812.4000000000003,6.102356902356902,9.22555458547559,297
438.7,62,1818.6,6.123232323232323,9.200455238429404,297
438.8,62,1824.8000000000004,6.164864864864865,9.151210820849176,296
438.9,62,1830.9999999999993,6.206779661016949,9.100315213054538,295
439.0,62,1837.2,6.227796610169491,9.054119276682089,295
439.1,62,1843.4000000000003,6.248813559322034,9.00798650612357,295
439.2,62,1849.6,6.269830508474577,8.953532541317244,295
439.3,63,1855.9000000000003,6.291186440677966,8.893908441133265,295
439.4,63,1862.1999999999994,6.312542372881356,8.829747430929613,295
439.5,63,1868.5000000000002,6.3338983050847455,8.762236099272124,295
439.6,64,1874.9000000000005,6.377210884353742,8.666588807782887,294
439.7,64,1881.2999999999997,6.398979591836735,8.587535747710781,294
439.8,64,1887.7000000000003,6.442662116040955,8.483053456788129,293
439.9,64,1894.0999999999995,6.486643835616438,8.373529750192056,292
440.0,64,1900.5000000000002,6.553448275862069,8.255018860856191,290
440.1,37,846.3999999999999,2.87891156462585,8.24720291178835,294
440.2,38,850.2,2.891836734693878,8.176226701440346,294
440.3,38,854.0000000000002,2.9047619047619047,8.103646081169442,294
440.4,22,411.90000000000003,1.4058020477815698,8.013570232002836,293
440.5,22,414.09999999999997,1.4181506849315069,7.930843622181901,292
440.6,22,416.3,1.4256849315068494,7.862389764314174,292
440.7,22,418.5,1.4332191780821917,7.801367723751014,292
440.8,9,143.39999999999998,0.4910958904109589,7.742777676900201,292
440.9,10,144.4,0.4945205479452054,7.682675555635906,292
441.0,12,145.6,0.49863013698630143,7.620905773912211,292
441.1,13,145.99999999999997,0.4999999999999999,7.567962178887208,292
441.2,9,67.9,0.2325342465753425,7.5111017026467115,292
441.3,13,36.400000000000006,0.12465753424657534,7.455308365640969,292
441.4,13,37.70000000000001,0.12955326460481098,7.381873338759985,291
441.5,17,39.39999999999999,0.13539518900343642,7.33410074253595,291
441.6,19,41.30000000000001,0.14241379310344826,7.272379517704935,290
441.7,19,9.7,0.03356401384083045,7.214004191231344,289
441.8,19,11.600000000000001,0.04041811846689895,7.128950468848473,287
441.9,21,13.699999999999998,0.04773519163763066,7.095078674447995,287
442.0,22,15.899999999999999,0.0554006968641115,7.059292475330387,287
442.1,23,18.2,0.0625429553264605,7.125242902276123,291
442.2,24,20.599999999999998,0.07079037800687285,7.097033490757579,291
